Order_ID,Date,Warehouse,Dealer,Customer_ID,Machine_ID,Machine_Type,Order_Quantity,Production_Status,Inventory_Level,Change_Type,Order_Volatility,Lead_Time_Days,Delay_Days
O246110,2021-01-01,WH001,Dealer_C,Cust005,MC004,Type1,5.0,On-Time,120.0,Delayed Approval,Low,45.0,3.0
O913201,2021-01-01,WH004,Dealer_B,Cust003,MC004,Type2,32.0,Critical Delay,167.0,Delayed Approval,Medium,25.0,15.0
Unknown,2021-01-01,WH003,Dealer_A,Cust003,MC002,Type3,5.0,Critical Delay,258.0,Delayed Approval,Low,39.0,0.0
O735166,2021-01-01,WH003,Dealer_B,Cust004,MC001,Type3,30.0,Critical Delay,132.0,Supplier Delay,Medium,22.0,0.0
O307207,2021-01-01,WH004,Dealer_B,Cust005,MC004,Type4,10.0,On-Time,258.0,Delayed Approval,Medium,48.0,0.0
O546619,2021-01-01,WH002,Dealer_A,Cust004,MC004,Type5,41.0,On-Time,484.0,Feature Update,Medium,29.0,19.0
O159671,2021-01-02,WH001,Dealer_E,Cust001,MC003,Type5,7.0,On-Time,258.0,Delayed Approval,Medium,45.0,0.0
O177529,2021-01-02,WH004,Dealer_D,Cust002,MC002,Type3,23.0,Delayed,385.0,Feature Update,Low,10.0,7.0
O450094,2021-01-02,WH004,Dealer_C,Cust003,MC002,Type4,29.0,Delayed,335.0,Delayed Approval,Low,21.0,0.0
O106463,2021-01-02,WH003,Dealer_C,Cust003,MC002,Type2,30.0,On-Time,336.0,Feature Update,Medium,16.0,0.0
O915137,2021-01-02,WH003,Dealer_E,Cust003,MC002,Type5,42.0,On-Time,56.0,Delayed Approval,Medium,36.0,0.0
O369203,2021-01-02,WH004,Dealer_E,Cust005,MC003,Type5,9.0,On-Time,165.0,Delayed Approval,Low,30.0,0.0
O473844,2021-01-02,WH001,Dealer_B,Cust005,MC004,Type2,48.0,On-Time,266.0,Supplier Delay,Medium,49.0,3.0
O337004,2021-01-03,WH002,Dealer_E,Cust002,MC002,Type3,7.0,Critical Delay,388.0,Delayed Approval,Medium,41.0,0.0
O819345,2021-01-03,WH004,Dealer_E,Cust005,MC001,Type2,36.0,Delayed,300.0,Feature Update,Low,28.0,0.0
O489181,2021-01-03,WH002,Dealer_C,Cust005,MC004,Type4,4.0,On-Time,297.0,Delayed Approval,Medium,40.0,19.0
O831634,2021-01-03,WH004,Dealer_E,Cust002,MC004,Type1,45.0,On-Time,341.0,Delayed Approval,High,44.0,7.0
O410782,2021-01-04,WH004,Dealer_C,Cust002,MC004,Type2,2.0,Delayed,308.0,Feature Update,Low,21.0,0.0
O161931,2021-01-04,WH004,Dealer_E,Cust002,MC003,Type4,30.0,Critical Delay,289.0,Feature Update,Medium,5.0,0.0
O407564,2021-01-04,WH003,Dealer_D,Cust003,MC002,Type5,22.0,Delayed,179.0,Delayed Approval,Low,34.0,0.0
O347784,2021-01-04,WH002,Dealer_C,Cust004,MC003,Type4,6.0,Critical Delay,71.0,Delayed Approval,Medium,6.0,0.0
O699023,2021-01-04,WH001,Dealer_A,Cust004,MC002,Type5,32.0,On-Time,435.0,Urgent Order Change,High,42.0,0.0
O233438,2021-01-04,WH004,Dealer_B,Cust003,MC003,Type4,1.0,Delayed,297.0,Urgent Order Change,Medium,31.0,0.0
O378544,2021-01-04,WH004,Dealer_B,Cust003,MC004,Type4,43.0,Critical Delay,189.0,Delayed Approval,Medium,36.0,0.0
O738304,2021-01-05,WH002,Dealer_D,Cust004,MC001,Type1,22.0,On-Time,233.0,Urgent Order Change,High,26.0,0.0
O142896,2021-01-05,WH004,Dealer_B,Cust001,MC003,Type5,13.0,Delayed,29.0,Urgent Order Change,Medium,44.0,14.0
O393925,2021-01-05,WH004,Dealer_B,Cust004,MC003,Type3,12.0,Critical Delay,304.0,Feature Update,Medium,23.0,0.0
O718812,2021-01-05,WH001,Dealer_D,Cust003,MC001,Type1,37.0,Critical Delay,446.0,Supplier Delay,Low,25.0,0.0
O546705,2021-01-05,WH003,Dealer_B,Cust002,MC001,Type3,40.0,Critical Delay,408.0,Delayed Approval,High,22.0,0.0
O678354,2021-01-05,WH002,Dealer_A,Cust001,MC002,Type4,21.0,Delayed,466.0,Feature Update,Low,36.0,0.0
O161735,2021-01-05,WH001,Dealer_E,Cust001,MC004,Type1,18.0,Critical Delay,14.0,Delayed Approval,Medium,27.0,1.0
O321077,2021-01-06,WH001,Dealer_E,Cust004,MC004,Type5,45.0,On-Time,474.0,Supplier Delay,Low,47.0,104.0
O923439,2021-01-06,WH003,Dealer_D,Cust005,MC003,Type3,24.0,Critical Delay,75.0,Urgent Order Change,High,45.0,0.0
O717599,2021-01-06,WH002,Dealer_D,Cust002,MC004,Type5,18.0,Delayed,341.0,Delayed Approval,Low,8.0,0.0
O170905,2021-01-06,WH002,Dealer_E,Cust003,MC004,Type2,46.0,Critical Delay,485.0,Feature Update,Low,27.0,0.0
O100531,2021-01-07,WH002,Dealer_D,Cust003,MC003,Type2,7.0,Delayed,418.0,Delayed Approval,High,32.0,0.0
O854954,2021-01-07,WH002,Dealer_B,Cust005,MC003,Type5,43.0,Delayed,65.0,Supplier Delay,Low,9.0,0.0
O270929,2021-01-07,WH001,Dealer_B,Cust005,MC004,Type4,31.0,Delayed,241.0,Supplier Delay,Medium,37.0,0.0
O657965,2021-01-08,WH003,Dealer_D,Cust002,MC004,Type4,35.0,Critical Delay,441.0,Urgent Order Change,Medium,5.0,9.0
O355744,2021-01-08,WH001,Dealer_B,Cust005,MC003,Type1,29.0,Delayed,409.0,Delayed Approval,Medium,14.0,15.0
O891478,2021-01-08,WH001,Dealer_E,Cust002,MC003,Type2,34.0,On-Time,200.0,Supplier Delay,Low,29.0,9.0
O652212,2021-01-08,WH002,Dealer_A,Cust003,MC003,Type1,37.0,Delayed,145.0,Urgent Order Change,Medium,36.0,0.0
O290605,2021-01-08,WH002,Dealer_C,Cust004,MC003,Type4,35.0,Delayed,261.0,Feature Update,High,42.0,0.0
O815710,2021-01-09,WH001,Dealer_C,Cust005,MC005,Type4,19.0,Critical Delay,486.0,Supplier Delay,High,17.0,0.0
O135038,2021-01-09,WH001,Dealer_D,Cust004,MC005,Type5,33.0,On-Time,60.0,Urgent Order Change,High,42.0,0.0
O840714,2021-01-09,WH001,Dealer_E,Cust002,MC001,Type1,5.0,Critical Delay,51.0,Delayed Approval,Low,31.0,0.0
O956823,2021-01-09,WH002,Dealer_E,Cust002,MC003,Type4,30.0,Critical Delay,418.0,Delayed Approval,Low,27.0,16.0
O216049,2021-01-09,WH003,Dealer_D,Cust005,MC003,Type5,18.0,Critical Delay,3618.0,Urgent Order Change,High,18.0,0.0
O210399,2021-01-09,WH002,Dealer_A,Cust001,MC001,Type1,47.0,Delayed,407.0,Supplier Delay,High,8.0,3.0
O811417,2021-01-09,WH003,Dealer_E,Cust001,MC002,Type1,39.0,Delayed,45.0,Supplier Delay,Medium,11.0,14.0
O188500,2021-01-10,WH002,Dealer_C,Cust002,MC004,Type5,16.0,Delayed,428.0,Delayed Approval,Medium,8.0,2.0
O732090,2021-01-10,WH001,Dealer_E,Cust004,MC002,Type5,22.0,Delayed,374.0,Delayed Approval,Medium,40.0,0.0
O917680,2021-01-10,WH002,Dealer_A,Cust002,MC003,Type5,39.0,Critical Delay,340.0,Feature Update,Low,41.0,0.0
O953181,2021-01-10,WH002,Dealer_D,Cust003,MC002,Type2,11.0,On-Time,295.0,Delayed Approval,High,11.0,0.0
O620892,2021-01-10,WH003,Dealer_A,Cust001,MC001,Type5,10.0,Critical Delay,365.0,Delayed Approval,Low,17.0,0.0
O760842,2021-01-10,WH004,Dealer_A,Cust001,MC001,Type1,36.0,Delayed,392.0,Supplier Delay,Low,35.0,18.0
O151125,2021-01-10,WH002,Dealer_B,Cust004,MC003,Type1,13.0,Critical Delay,251.0,Delayed Approval,High,31.0,0.0
O465575,2021-01-11,WH001,Dealer_B,Cust001,MC002,Type5,4.0,Delayed,86.0,Delayed Approval,Medium,6.0,2.0
