Order_ID,Date,Warehouse,Dealer,Customer_ID,Machine_ID,Machine_Type,Order_Quantity,Production_Status,Inventory_Level,Change_Type,Order_Volatility,Lead_Time_Days,Delay_Days
O246110,01-01-2021,WH001,Dealer_C,Cust005,MC004,Type1,5,On-Time,120,,Low,45,3
O913201,01-01-2021,WH004,Dealer_B,Cust003,,Type2,32,Critical Delay,167,,Medium,25,15
,01-01-2021,WH003,Dealer_A,Cust003,MC002,Type3,5,Critical Delay,,Delayed Approval,Low,39,0
O735166,01-01-2021,WH003,Dealer_B,Cust004,MC001,Type3,30,Critical Delay,132,Supplier Delay,Medium,22,0
O307207,01-01-2021,WH004,Dealer_B,Cust005,MC004,,10,On-Time,,,Medium,48,0
O546619,01-01-2021,WH002,Dealer_A,Cust004,MC004,Type5,41,On-Time,484,Feature Update,Medium,29,19
O159671,02-01-2021,WH001,Dealer_E,Cust001,MC003,Type5,7,On-Time,,,Medium,45,0
O177529,02-01-2021,WH004,Dealer_D,Cust002,MC002,Type3,23,Delayed,385,Feature Update,Low,10,7
O450094,02-01-2021,WH004,Dealer_C,Cust003,MC002,Type4,29,Delayed,335,,Low,21,0
O106463,02-01-2021,WH003,Dealer_C,Cust003,MC002,Type2,30,On-Time,336,Feature Update,Medium,16,0
O915137,02-01-2021,WH003,Dealer_E,Cust003,MC002,Type5,42,On-Time,56,Delayed Approval,,36,0
O369203,02-01-2021,WH004,Dealer_E,Cust005,MC003,Type5,9,On-Time,165,Delayed Approval,Low,30,0
O473844,02-01-2021,WH001,Dealer_B,Cust005,MC004,Type2,48,On-Time,266,Supplier Delay,Medium,49,3
O337004,03-01-2021,,Dealer_E,,MC002,Type3,7,Critical Delay,388,,Medium,41,0
O819345,03-01-2021,WH004,Dealer_E,Cust005,MC001,Type2,36,Delayed,300,Feature Update,Low,28,0
O489181,03-01-2021,WH002,Dealer_C,Cust005,,Type4,4,On-Time,297,,Medium,40,19
O831634,03-01-2021,WH004,Dealer_E,Cust002,MC004,Type1,45,On-Time,341,Delayed Approval,High,44,7
O410782,,WH004,Dealer_C,Cust002,MC004,Type2,2,Delayed,308,Feature Update,Low,21,0
O161931,04-01-2021,WH004,Dealer_E,Cust002,MC003,,30,Critical Delay,289,Feature Update,,5,0
O407564,04-01-2021,WH003,Dealer_D,Cust003,MC002,Type5,22,Delayed,179,,Low,34,0
O347784,04-01-2021,WH002,Dealer_C,Cust004,MC003,Type4,6,Critical Delay,71,Delayed Approval,Medium,6,0
O699023,04-01-2021,WH001,Dealer_A,Cust004,MC002,Type5,32,On-Time,435,Urgent Order Change,High,42,0
O233438,04-01-2021,WH004,Dealer_B,Cust003,MC003,Type4,1,Delayed,297,Urgent Order Change,Medium,31,0
O378544,04-01-2021,WH004,Dealer_B,Cust003,MC004,Type4,43,Critical Delay,189,Delayed Approval,Medium,36,
O738304,,,Dealer_D,Cust004,MC001,Type1,22,On-Time,233,Urgent Order Change,High,26,0
O142896,05-01-2021,WH004,Dealer_B,Cust001,MC003,Type5,13,Delayed,29,Urgent Order Change,Medium,44,14
O393925,05-01-2021,WH004,Dealer_B,Cust004,MC003,Type3,12,Critical Delay,304,Feature Update,Medium,23,0
O718812,05-01-2021,WH001,,Cust003,MC001,Type1,37,Critical Delay,446,Supplier Delay,Low,25,0
O546705,05-01-2021,WH003,Dealer_B,Cust002,MC001,Type3,40,Critical Delay,408,,High,22,0
O678354,05-01-2021,WH002,Dealer_A,Cust001,MC002,Type4,21,Delayed,466,Feature Update,Low,36,0
O161735,05-01-2021,WH001,Dealer_E,Cust001,MC004,Type1,18,Critical Delay,14,,Medium,,1
O321077,06-01-2021,WH001,Dealer_E,Cust004,MC004,Type5,45,On-Time,474,Supplier Delay,Low,47,104
O923439,06-01-2021,WH003,Dealer_D,Cust005,MC003,Type3,24,Critical Delay,75,Urgent Order Change,High,45,0
O717599,06-01-2021,,,Cust002,,Type5,18,Delayed,341,,Low,8,0
O170905,06-01-2021,WH002,Dealer_E,Cust003,MC004,Type2,46,Critical Delay,485,Feature Update,Low,,0
O100531,07-01-2021,,Dealer_D,Cust003,MC003,Type2,7,,418,Delayed Approval,High,32,0
O854954,,WH002,Dealer_B,Cust005,MC003,Type5,43,Delayed,65,Supplier Delay,Low,9,0
O270929,07-01-2021,WH001,Dealer_B,Cust005,,Type4,31,,241,Supplier Delay,Medium,37,0
O657965,08-01-2021,WH003,Dealer_D,Cust002,MC004,Type4,35,Critical Delay,441,Urgent Order Change,Medium,5,9
O355744,08-01-2021,WH001,Dealer_B,Cust005,MC003,Type1,29,Delayed,409,Delayed Approval,Medium,14,15
O891478,08-01-2021,WH001,Dealer_E,Cust002,MC003,Type2,34,On-Time,200,Supplier Delay,Low,29,9
O652212,08-01-2021,WH002,Dealer_A,Cust003,MC003,Type1,37,,145,Urgent Order Change,Medium,36,0
O290605,08-01-2021,,Dealer_C,Cust004,MC003,Type4,35,,261,Feature Update,High,42,0
O815710,,WH001,Dealer_C,Cust005,MC005,Type4,19,Critical Delay,486,Supplier Delay,High,17,0
O135038,09-01-2021,WH001,Dealer_D,Cust004,MC005,Type5,33,On-Time,60,Urgent Order Change,High,42,
O840714,09-01-2021,WH001,Dealer_E,Cust002,MC001,Type1,5,Critical Delay,51,Delayed Approval,Low,31,
O956823,09-01-2021,WH002,Dealer_E,Cust002,MC003,Type4,30,Critical Delay,418,,Low,27,16
O216049,09-01-2021,WH003,Dealer_D,Cust005,MC003,Type5,18,Critical Delay,3618,Urgent Order Change,High,18,0
O210399,09-01-2021,WH002,Dealer_A,Cust001,MC001,Type1,47,Delayed,407,Supplier Delay,High,8,3
O811417,09-01-2021,WH003,Dealer_E,Cust001,MC002,Type1,39,Delayed,45,Supplier Delay,Medium,11,14
O188500,10-01-2021,WH002,Dealer_C,,MC004,Type5,16,Delayed,428,Delayed Approval,Medium,8,2
O732090,10-01-2021,WH001,Dealer_E,Cust004,MC002,Type5,22,Delayed,374,,Medium,40,0
O917680,10-01-2021,WH002,Dealer_A,,MC003,Type5,39,Critical Delay,340,Feature Update,Low,41,0
O953181,10-01-2021,,Dealer_D,Cust003,MC002,Type2,11,On-Time,295,,High,11,0
O620892,10-01-2021,WH003,Dealer_A,Cust001,MC001,Type5,10,Critical Delay,365,Delayed Approval,Low,17,0
O760842,10-01-2021,WH004,Dealer_A,Cust001,MC001,Type1,36,Delayed,392,Supplier Delay,Low,35,18
O151125,10-01-2021,WH002,Dealer_B,Cust004,MC003,Type1,13,Critical Delay,251,,High,31,0
O465575,11-01-2021,WH001,Dealer_B,Cust001,MC002,Type5,4,Delayed,86,Delayed Approval,Medium,6,2
O199043,11-01-2021,WH004,Dealer_D,Cust002,MC004,Type2,38,,396,Urgent Order Change,High,44,0
O815488,11-01-2021,WH004,Dealer_E,Cust002,MC003,Type5,29,Delayed,348,Urgent Order Change,High,13,14
O249911,11-01-2021,WH003,Dealer_D,Cust003,MC005,Type3,40,,122,Supplier Delay,Low,11,6
O534672,11-01-2021,WH002,Dealer_E,Cust001,MC002,Type4,6,On-Time,287,,High,12,0
O116510,11-01-2021,WH003,Dealer_A,Cust005,MC004,Type2,39,Critical Delay,,,Medium,15,16
O625174,11-01-2021,WH003,Dealer_D,Cust004,MC002,Type5,29,Delayed,383,Urgent Order Change,High,18,5
O938032,11-01-2021,WH003,Dealer_B,Cust004,,Type1,22,On-Time,364,Feature Update,Low,11,0
O823833,11-01-2021,WH003,Dealer_A,Cust004,MC001,Type5,2,,98,Feature Update,,46,0
,12-01-2021,WH004,Dealer_E,Cust003,MC002,Type4,28,On-Time,204,Delayed Approval,Low,47,0
O138672,12-01-2021,,Dealer_B,Cust004,MC005,Type5,45,On-Time,496,,Low,30,0
O388469,12-01-2021,WH003,,,MC002,Type5,35,Delayed,448,Delayed Approval,High,13,0
O845140,12-01-2021,WH001,Dealer_E,Cust003,MC004,,45,,222,Feature Update,Medium,20,0
O820553,12-01-2021,WH001,Dealer_B,Cust005,MC001,Type3,14,Delayed,353,Feature Update,Low,17,0
O923190,13-01-2021,WH003,Dealer_B,Cust003,MC002,Type4,30,On-Time,,Supplier Delay,Low,13,16
O709726,13-01-2021,WH001,Dealer_A,Cust005,MC003,Type1,32,Critical Delay,260,Supplier Delay,High,15,0
O905573,13-01-2021,WH001,Dealer_E,Cust002,MC001,Type5,40,Critical Delay,390,Feature Update,Low,11,0
O609363,13-01-2021,WH004,Dealer_A,Cust004,MC004,Type4,44,Critical Delay,275,Feature Update,,10,0
O229913,13-01-2021,WH001,Dealer_E,Cust004,MC004,Type3,5,On-Time,110,,Medium,42,0
O915654,13-01-2021,WH001,Dealer_E,Cust003,MC004,Type5,44,Critical Delay,,,High,11,0
O759065,14-01-2021,WH002,Dealer_A,Cust003,MC003,Type1,17,Delayed,,Delayed Approval,Low,10,0
O510153,14-01-2021,WH002,Dealer_B,Cust003,,Type1,11,On-Time,392,,High,10,nan
O406799,14-01-2021,WH003,Dealer_B,Cust004,MC003,Type2,5,Delayed,461,Feature Update,Low,14,0
O304843,14-01-2021,WH001,Dealer_B,Cust003,MC005,,47,Critical Delay,369,Urgent Order Change,Medium,27,0
O738591,15-01-2021,WH003,Dealer_B,Cust001,MC002,Type2,22,Delayed,408,Supplier Delay,Low,32,0
O248913,15-01-2021,WH004,Dealer_B,Cust001,,Type2,,Critical Delay,451,Feature Update,Low,37,0
O914547,15-01-2021,WH003,Dealer_E,,,Type2,12,Critical Delay,88,,Medium,9,12
O208361,15-01-2021,WH002,Dealer_D,Cust004,,Type1,,Delayed,256,Delayed Approval,High,31,0
O847557,16-01-2021,WH002,Dealer_C,Cust004,MC005,Type1,14,On-Time,294,Supplier Delay,Low,27,0
O424671,16-01-2021,WH004,Dealer_A,,MC001,,41,Critical Delay,150,Urgent Order Change,High,24,9
O807803,16-01-2021,WH002,Dealer_E,Cust004,MC003,Type4,,Delayed,301,Supplier Delay,Low,43,0
O737806,16-01-2021,WH003,Dealer_B,Cust002,MC005,Type5,22,On-Time,113,Feature Update,High,29,0
O163639,16-01-2021,WH004,Dealer_A,Cust004,MC003,,33,Critical Delay,391,Feature Update,Medium,17,0
O770504,16-01-2021,WH001,Dealer_B,Cust001,MC004,Type5,31,Delayed,341,Supplier Delay,Medium,38,18
O252174,16-01-2021,WH003,Dealer_D,Cust002,MC002,Type3,33,Critical Delay,270,,Low,13,8
O470092,16-01-2021,WH004,Dealer_B,Cust005,MC004,Type4,11,Critical Delay,220,Delayed Approval,Medium,29,0
O970409,16-01-2021,,Dealer_E,Cust001,MC001,Type3,31,On-Time,274,Feature Update,High,26,12
O162360,17-01-2021,WH001,,Cust001,,Type2,21,Delayed,227,,Medium,28,0
O692136,17-01-2021,WH003,Dealer_E,Cust002,MC005,Type1,38,Critical Delay,137,,High,40,0
O918005,,WH003,Dealer_B,Cust004,MC001,Type4,8,Critical Delay,1530,Feature Update,Low,49,5
O857121,17-01-2021,WH001,Dealer_E,Cust003,MC005,Type5,43,Delayed,263,Supplier Delay,Medium,37,0
O823120,17-01-2021,WH002,Dealer_E,Cust001,MC002,Type4,20,On-Time,11,Supplier Delay,Medium,,0
O975297,17-01-2021,WH001,Dealer_D,Cust005,MC003,Type2,45,Critical Delay,45,,High,8,0
O298243,18-01-2021,WH001,Dealer_D,Cust004,MC003,Type1,8,Delayed,210,,Low,5,4
O636941,18-01-2021,WH003,Dealer_E,Cust002,MC001,Type3,33,On-Time,40,,High,10,0
O253546,18-01-2021,WH003,Dealer_B,Cust004,MC001,Type5,4,Critical Delay,429,Supplier Delay,Medium,7,0
O273984,18-01-2021,,Dealer_B,Cust005,MC005,Type2,14,On-Time,279,,Medium,45,0
O177689,18-01-2021,WH004,Dealer_B,Cust004,MC005,Type4,33,On-Time,116,,Medium,27,10
O999044,18-01-2021,WH004,Dealer_B,Cust002,MC002,Type4,85,Critical Delay,482,Feature Update,Medium,42,0
O234954,18-01-2021,WH003,Dealer_C,Cust005,MC002,Type1,,On-Time,307,Urgent Order Change,High,46,0
O766528,18-01-2021,WH003,Dealer_B,Cust002,MC004,Type5,14,Delayed,486,Supplier Delay,Medium,32,16
O543896,19-01-2021,WH004,Dealer_A,Cust001,MC001,Type2,39,Critical Delay,478,Supplier Delay,High,10,0
O376719,19-01-2021,WH003,Dealer_D,Cust003,MC002,Type4,20,Critical Delay,465,Delayed Approval,High,23,0
O446937,19-01-2021,WH004,Dealer_B,Cust003,MC002,Type1,39,On-Time,494,Urgent Order Change,Medium,35,0
O412150,19-01-2021,WH002,Dealer_D,Cust005,MC005,Type2,35,On-Time,322,,Medium,nan,0
O110537,19-01-2021,WH001,Dealer_B,Cust002,MC004,Type5,2,On-Time,,Urgent Order Change,,27,0
O903276,19-01-2021,WH003,Dealer_E,Cust005,MC002,Type3,36,Delayed,477,Delayed Approval,Low,35,0
O837104,20-01-2021,WH003,Dealer_D,Cust004,MC001,Type4,29,On-Time,349,Urgent Order Change,High,32,0
O363483,20-01-2021,WH003,Dealer_A,Cust001,MC002,Type3,18,Critical Delay,32,,Low,8,0
O299662,20-01-2021,WH001,Dealer_A,Cust001,MC004,Type4,15,On-Time,208,Delayed Approval,Medium,42,0
O600867,20-01-2021,WH001,Dealer_B,Cust002,MC004,Type3,46,On-Time,469,Supplier Delay,High,33,0
O275251,21-01-2021,WH004,Dealer_A,Cust004,MC003,Type5,47,On-Time,89,,High,44,
O218796,,WH003,Dealer_E,Cust001,MC004,Type5,24,Critical Delay,247,Delayed Approval,High,9,0
O300465,21-01-2021,WH001,Dealer_D,Cust001,MC002,Type5,18,On-Time,2358,Urgent Order Change,Low,,0
O612777,21-01-2021,WH004,Dealer_B,Cust005,MC003,Type2,29,Delayed,83,Urgent Order Change,Low,46,0
O516091,21-01-2021,WH003,Dealer_B,Cust002,MC005,Type3,5,On-Time,411,Supplier Delay,Medium,5,1
O587473,21-01-2021,WH003,Dealer_E,Cust004,MC003,Type1,18,Critical Delay,3681,Supplier Delay,High,17,0
O736608,21-01-2021,,,Cust001,MC003,Type2,36,Critical Delay,105,,High,33,0
O168269,21-01-2021,WH004,Dealer_C,Cust002,MC001,Type2,11,On-Time,149,Feature Update,Low,9,0
O648005,21-01-2021,WH001,Dealer_A,Cust005,MC002,Type4,47,Delayed,285,Delayed Approval,Low,28,0
O493618,22-01-2021,WH001,Dealer_E,Cust002,MC001,Type2,49,Delayed,233,,,17,0
O198425,22-01-2021,WH001,Dealer_B,Cust005,MC004,Type1,26,Critical Delay,,Supplier Delay,High,31,0
O742596,22-01-2021,WH003,Dealer_C,Cust002,MC005,Type1,15,Delayed,369,Supplier Delay,High,27,0
O256913,22-01-2021,WH002,Dealer_A,Cust001,,Type4,30,On-Time,219,Feature Update,Low,11,0
O563990,22-01-2021,WH002,Dealer_C,Cust003,MC001,Type2,4,Critical Delay,,,High,7,0
O956586,,WH002,Dealer_C,Cust001,MC001,Type2,37,On-Time,103,Delayed Approval,Medium,30,0
O455921,22-01-2021,WH002,,Cust005,MC001,Type5,11,On-Time,340,Urgent Order Change,Medium,14,0
O678348,22-01-2021,WH001,Dealer_D,Cust004,MC001,Type3,46,Critical Delay,214,Feature Update,High,5,0
O618628,22-01-2021,WH004,Dealer_B,Cust005,MC005,Type3,49,Delayed,279,Feature Update,High,17,120
O512352,23-01-2021,WH001,Dealer_E,Cust004,MC004,Type5,42,On-Time,383,Supplier Delay,Medium,19,
O503016,23-01-2021,WH002,Dealer_B,Cust004,MC001,Type5,13,On-Time,263,,Low,19,0
O573795,23-01-2021,WH001,Dealer_D,Cust003,MC003,Type4,,Delayed,227,Feature Update,,24,0
O304670,23-01-2021,WH003,Dealer_B,Cust001,MC004,Type2,40,Critical Delay,426,Supplier Delay,,26,0
O723255,23-01-2021,WH001,Dealer_D,Cust003,MC003,Type3,38,Delayed,214,Feature Update,Low,25,0
O731097,24-01-2021,WH003,Dealer_A,Cust004,MC003,Type1,49,Delayed,,Supplier Delay,High,nan,
O612505,24-01-2021,WH001,Dealer_A,Cust005,MC002,Type3,43,Critical Delay,302,Delayed Approval,High,8,0
O597639,24-01-2021,WH003,Dealer_D,Cust005,MC002,Type1,27,On-Time,344,Supplier Delay,Low,12,0
O542784,24-01-2021,WH002,Dealer_C,Cust003,MC003,Type3,49,Delayed,463,Delayed Approval,High,13,0
O879101,24-01-2021,WH002,Dealer_A,Cust005,MC001,Type1,4,Critical Delay,200,Urgent Order Change,High,47,0
O490112,24-01-2021,,Dealer_A,Cust001,MC002,Type3,38,On-Time,367,Feature Update,Medium,40,0
O869609,25-01-2021,WH001,Dealer_E,Cust005,MC003,Type4,28,Critical Delay,72,Delayed Approval,Low,23,0
O250104,25-01-2021,WH003,Dealer_A,Cust001,MC002,Type3,1,On-Time,,Feature Update,Medium,44,12
O518542,25-01-2021,WH002,Dealer_A,Cust005,MC002,Type4,36,On-Time,82,Feature Update,Low,9,0
O777170,25-01-2021,WH002,Dealer_A,Cust001,MC004,Type4,1,On-Time,21,Delayed Approval,Low,21,0
O840241,25-01-2021,WH003,Dealer_E,Cust003,MC005,Type2,2,On-Time,94,Feature Update,Medium,7,0
O125883,25-01-2021,WH004,Dealer_D,Cust003,MC002,Type3,16,Critical Delay,248,Feature Update,Medium,29,0
O111543,25-01-2021,WH003,Dealer_C,Cust002,MC001,Type4,47,Critical Delay,154,Supplier Delay,Medium,32,12
,25-01-2021,WH002,Dealer_A,Cust003,MC002,Type5,42,On-Time,416,Delayed Approval,Medium,32,0
O877292,25-01-2021,WH004,Dealer_D,Cust003,MC005,Type3,34,On-Time,391,,Low,42,
O572136,26-01-2021,WH002,Dealer_B,Cust002,MC001,Type5,4,Critical Delay,199,Supplier Delay,Medium,26,1
O468354,26-01-2021,WH002,Dealer_B,Cust004,,Type5,10,Delayed,400,Feature Update,Low,13,
O893882,,WH003,Dealer_A,Cust001,MC004,Type4,20,,472,,Low,,0
O224344,26-01-2021,WH004,Dealer_A,Cust004,MC003,Type1,47,Critical Delay,432,Feature Update,Low,42,5
O674849,26-01-2021,WH004,Dealer_C,Cust004,MC004,Type1,28,On-Time,147,,High,48,0
O501947,27-01-2021,WH003,Dealer_A,Cust001,MC002,Type4,195,On-Time,3213,Feature Update,Low,23,9
,,,Dealer_E,Cust004,MC001,Type1,33,,63,Feature Update,High,22,0
O744674,27-01-2021,WH001,Dealer_A,Cust002,MC003,Type5,33,Delayed,156,Urgent Order Change,High,31,0
O278641,28-01-2021,WH003,Dealer_D,Cust004,MC003,Type3,20,Delayed,341,Supplier Delay,High,47,0
O896465,28-01-2021,WH001,Dealer_C,Cust004,MC004,Type3,46,Delayed,186,,High,25,0
O654064,28-01-2021,WH002,Dealer_A,Cust004,MC004,Type1,42,On-Time,388,,Low,34,0
O963810,28-01-2021,WH003,Dealer_C,Cust004,MC002,Type5,,Critical Delay,213,Feature Update,Medium,38,11
O983008,28-01-2021,WH004,Dealer_A,,MC001,Type2,26,Delayed,3276,Urgent Order Change,,,0
O657575,29-01-2021,WH002,Dealer_D,Cust001,MC001,Type2,36,On-Time,24,,Low,35,0
O266726,29-01-2021,WH003,Dealer_B,Cust005,MC001,Type3,34,,462,Delayed Approval,Low,,9
O404246,29-01-2021,WH003,Dealer_C,,MC005,Type2,12,Delayed,256,,Low,32,0
O734494,29-01-2021,,Dealer_C,Cust004,MC001,Type1,19,On-Time,159,Delayed Approval,High,,1
O180935,29-01-2021,WH002,Dealer_B,Cust002,MC001,Type4,,On-Time,164,,Low,14,0
,,WH004,Dealer_D,Cust003,MC001,Type2,25,On-Time,143,Supplier Delay,Low,14,0
O968402,30-01-2021,WH004,Dealer_D,Cust005,MC004,Type1,12,Critical Delay,489,Urgent Order Change,Low,30,
O376931,30-01-2021,,Dealer_C,Cust003,MC001,Type4,18,Critical Delay,135,,Low,42,0
O359212,30-01-2021,WH003,Dealer_A,Cust003,MC001,Type4,27,Critical Delay,496,Feature Update,Medium,18,0
O504659,30-01-2021,WH003,Dealer_A,Cust001,MC005,Type4,19,Critical Delay,198,Supplier Delay,Medium,29,0
O239556,31-01-2021,WH002,Dealer_E,Cust002,MC002,Type5,35,On-Time,421,,Medium,20,0
,31-01-2021,WH003,Dealer_B,Cust005,MC001,,15,Delayed,,Feature Update,Medium,24,5
O320963,31-01-2021,WH003,Dealer_C,Cust003,MC003,Type4,34,Critical Delay,373,,Low,16,0
O889235,31-01-2021,WH002,Dealer_A,Cust004,MC003,Type5,13,On-Time,221,Supplier Delay,Medium,29,0
O635900,31-01-2021,WH004,Dealer_B,Cust005,MC004,Type5,2,On-Time,297,,Medium,16,0
O543246,31-01-2021,WH004,Dealer_E,Cust005,MC002,Type1,12,Delayed,,Feature Update,Medium,17,0
O834663,31-01-2021,WH003,Dealer_B,Cust001,MC005,Type2,44,Delayed,191,Supplier Delay,High,47,0
O884102,31-01-2021,WH002,Dealer_C,Cust001,MC004,Type2,23,Delayed,282,Feature Update,Low,40,0
O698747,01-02-2021,WH002,Dealer_D,Cust003,MC005,Type4,17,Delayed,241,Delayed Approval,Medium,39,0
O415540,01-02-2021,WH004,Dealer_D,Cust004,MC001,Type1,26,Critical Delay,482,Urgent Order Change,Low,10,0
O709234,01-02-2021,WH002,Dealer_A,Cust005,MC002,Type5,28,,404,,Medium,26,0
O482539,01-02-2021,WH002,Dealer_C,Cust001,MC003,Type4,43,Delayed,,Delayed Approval,Low,33,0
O792608,01-02-2021,WH003,Dealer_D,Cust005,MC002,Type4,11,On-Time,260,Urgent Order Change,Medium,23,0
O602258,01-02-2021,WH003,Dealer_B,Cust002,MC003,Type5,47,Critical Delay,206,Urgent Order Change,Medium,49,0
